geneID	geneName
RGD:1564009	Tada3
RGD:1564008	Dact1
RGD:1309067	Eme1
RGD:1594796	Tpd52l1
RGD:1309037	Prcc
RGD:70974	Kif2a
RGD:1562861	Taok3
RGD:1307898	Snx33
RGD:1307895	Wee1
RGD:620469	Sept7
RGD:1307843	Pias1
RGD:1306444	Fbxl15
RGD:620404	Adam17
RGD:1307811	Spc25
RGD:1584466	Snx9
RGD:708520	Vcpip1
RGD:3082	Met
RGD:3078	Men1
RGD:3075	Mecp2
RGD:3032	Smad3
RGD:1562797	Cep192
RGD:69051	Tgfb1
RGD:1307695	Kif20a
RGD:620275	Btc
RGD:1562602	Pml
RGD:620259	Eif4ebp1
RGD:620239	Kif2c
RGD:1306654	Bub3
RGD:1311358	Cep57l1
RGD:621113	Ttl
RGD:621114	Ttn
RGD:621120	Cdk4
RGD:621121	Cdk6
RGD:621134	Ralbp1
RGD:1562596	Ncapd2
RGD:1562573	Zfp830
RGD:1589718	Foxc1
RGD:1307589	Thap1
RGD:620477	Cdc20
RGD:620160	Bid
RGD:620152	Spag5
RGD:1307549	Dctn6
RGD:620132	Sh2b1
RGD:1311403	Rrs1
RGD:621227	Daxx
RGD:62081	Hes1
RGD:621235	Ndel1
RGD:62074	Inhba
RGD:621542	Rad50
RGD:621543	Chek2
RGD:621561	Myo16
RGD:1562176	Ncapd3
RGD:1359557	Esrrb
RGD:1308292	Nudt15
RGD:6492682	LOC100911456
RGD:1307192	Usp16
RGD:1307160	Gbf1
RGD:1307139	Ercc3
RGD:1307115	Cenpe
RGD:1592835	Rcc1
RGD:1560967	Gpsm2
RGD:620038	Nde1
RGD:1310668	Afap1l2
RGD:1310664	Tpr
RGD:1310650	Kif14
RGD:620048	Sphk1
RGD:3122	Muc1
RGD:1310622	Stox1
RGD:1305951	Iqgap3
RGD:620066	Paics
RGD:3162	Nes
RGD:1310607	Rpl26
RGD:1306374	Eml1
RGD:1305912	Racgap1
RGD:1305907	Taf10
RGD:1305906	Lats2
RGD:1359472	Rdx
RGD:1562052	Nsl1
RGD:1562047	Cks2
RGD:1562042	Stag2
RGD:1359422	Srsf2
RGD:1307094	Pds5a
RGD:1562028	Map4k5
RGD:1307084	Ska2
RGD:1562008	Cul9
RGD:1307041	Pcid2
RGD:1307040	Map2k4
RGD:1307022	Poldip2
RGD:1310590	Eps8
RGD:1560863	Cdca5
RGD:1359352	Ik
RGD:1560766	Pid1
RGD:1310487	Map3k14
RGD:1560759	Pim2
RGD:1310466	Oxsr1
RGD:1310464	Cenpj
RGD:620146	Pkn2
RGD:3333	Pkd1
RGD:1310439	Dtl
RGD:3344	Plcb1
RGD:1305760	Xpc
RGD:3352	Plk1
RGD:1310411	Usp47
RGD:1305726	Tubgcp3
RGD:1305711	Foxn3
RGD:1359200	Akap8l
RGD:1592569	Rrm1
RGD:1560681	Rad51b
RGD:2311471	LOC100302465
RGD:1303062	Katna1
RGD:1560642	Mcph1
RGD:1310367	Snx18
RGD:1310360	Kif18b
RGD:1560614	Flna
RGD:70495	Map2k1
RGD:2318130	Gigyf2
RGD:70486	Cdk2
RGD:1305661	Fbxw5
RGD:1305644	Ube2e2
RGD:1305629	Ctdsp1
RGD:1305622	Bod1
RGD:2511	Dync1h1
RGD:1310191	Ankle2
RGD:3602	Rps6
RGD:1560433	Rint1
RGD:1310154	Ndc80
RGD:1305491	Rnf2
RGD:1560401	Reep3
RGD:1305463	Map4k1
RGD:1305460	Ppm1d
RGD:1310103	Ttyh1
RGD:1305437	Tex14
RGD:1305435	Cdk19
RGD:1565986	Zfp365
RGD:1565969	Ccny
RGD:1565937	Ncaph2
RGD:1592236	Ints13
RGD:1560368	Map9
RGD:1305382	Ube2c
RGD:1560300	Slf2
RGD:1305340	Cep55
RGD:3773	Stat5a
RGD:3774	Stat5b
RGD:1305332	Mdm2
RGD:1305322	Map4k4
RGD:3795	Sycp3
RGD:1305317	Cntrl
RGD:1565882	Setmar
RGD:1592140	Mzt1
RGD:727922	Sptbn1
RGD:727816	Npm2
RGD:1305198	Meis2
RGD:1305189	Parp3
RGD:628895	Aurka
RGD:1305156	Nsmce2
RGD:628874	Mnat1
RGD:628843	Mfn2
RGD:628814	Fzd3
RGD:628810	Vps4a
RGD:1565672	Mtbp
RGD:727905	Strada
RGD:621083	Ccnd2
RGD:621084	Uba3
RGD:727779	Nek6
RGD:1560084	Epgn
RGD:1560049	Dusp3
RGD:1560047	Ranbp2
RGD:1560043	Map2k7
RGD:1560020	Myb
RGD:1305077	Pibf1
RGD:1305056	Angel2
RGD:1305050	Chmp2a
RGD:1305038	Plk5
RGD:9295713	LOC103690165
RGD:1305018	Wnt9a
RGD:1307781	Cdkn3
RGD:1562712	Gjc2
RGD:6491367	LOC100911727
RGD:620348	Cav2
RGD:1307743	Tubgcp6
RGD:1307705	Pak4
RGD:1307700	Mitd1
RGD:621021	Pkia
RGD:621047	Plrg1
RGD:621059	Ccna2
RGD:621073	Usp2
RGD:1594541	Ttc28
RGD:1594540	Pole
RGD:1562646	Ncapg
RGD:620299	Ereg
RGD:621253	Fap
RGD:621258	Kif11
RGD:62048	Top2a
RGD:62039	Plk3
RGD:62038	Dctn1
RGD:1562483	Hoxa13
RGD:62017	Pebp1
RGD:62009	Zfp36l1
RGD:62006	Smc3
RGD:1307492	Smc5
RGD:1307488	Cntrob
RGD:1307400	Cep97
RGD:1306894	Chtf8
RGD:621487	Taf2
RGD:621497	Sdcbp
RGD:621498	Cdc25a
RGD:1308199	Map4k2
RGD:1562262	Cep250
RGD:1562246	Gins1
RGD:1307282	Brd4
RGD:1307201	Ska3
RGD:1310784	Ska1
RGD:1310744	Stag1
RGD:70892	Cdc5l
RGD:70891	Fgf8
RGD:621500	Cdc25b
RGD:621517	Crlf3
RGD:1359139	Slfn13
RGD:1359137	Wrap73
RGD:1359135	Mink1
RGD:1359118	Kifc1
